term,year,level,country_code,country_name,school_type,characteristic_desc,characteristic,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_PA_10_exact,enrolments_pa_10_exact_percent,sess_possible_pa_10_exact,sess_overall_pa_10_exact,sess_authorised_pa_10_exact,sess_unauthorised_pa_10_exact,sess_overall_percent_pa_10_exact,sess_authorised_percent_pa_10_exact,sess_unauthorised_percent_pa_10_exact,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
Autumn and spring term,201415,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Any_other_white_background,216935,51566619,2484964,1946060,538904,4.8,3.8,1,27515,12.7,5957694,924905,645180,279725,15.5,10.8,4.7,1637623,124507,5212,114,1545,46278,.,4419,120830,1940528,157457,26186,309675,44374,537692,2478220
Autumn and spring term,201415,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Mixed_Total,204860,49652553,2172996,1693794,479202,4.4,3.4,1,22810,11.1,5115247,802751,539756,262995,15.7,10.6,5.1,1393004,114789,6245,87,475,39575,.,12982,124146,1691303,109235,59376,270460,39661,478732,2170035
Autumn and spring term,201415,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_White_and_Black_Caribbean,55765,13531337,661926,494305,167621,4.9,3.7,1.2,7610,13.6,1723638,277075,178164,98911,16.1,10.3,5.7,409023,34078,404,20,7,6341,.,6397,37550,493820,23709,24722,103482,15621,167534,661354
Autumn and spring term,201415,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_White_and_Black_African,27690,6670502,264888,205685,59203,4,3.1,0.9,2710,9.8,590737,92143,61389,30754,15.6,10.4,5.2,168827,14713,467,5,37,4134,.,1623,15538,205344,14057,7265,32818,4981,59121,264465
Autumn and spring term,201415,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_White_and_Asian,47375,11548407,472253,384728,87525,4.1,3.3,0.8,4540,9.6,1023452,156551,110819,45732,15.3,10.8,4.5,315203,25393,2916,18,341,12297,.,1053,26816,384037,28963,8646,44574,5308,87491,471528
Autumn and spring term,201415,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Any_other_Mixed_background,74035,17902307,773929,609076,164853,4.3,3.4,0.9,7955,10.7,1777420,276982,189384,87598,15.6,10.7,4.9,499951,40605,2458,44,90,16803,.,3909,44242,608102,42506,18743,89586,13751,164586,772688
Autumn and spring term,201415,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Asian_Total,392215,95258002,4097654,3205366,892288,4.3,3.4,0.9,39965,10.2,9142745,1352598,891593,461005,14.8,9.8,5,2661073,192934,72630,96,39,88766,.,3323,182719,3201580,442023,36124,364898,48181,891226,4092806
Autumn and spring term,201415,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Indian,103030,25006032,947174,761467,185707,3.8,3,0.7,8385,8.1,1882717,271898,184560,87338,14.4,9.8,4.6,616727,44017,14073,57,16,33748,.,406,51896,760940,109700,6648,60718,8414,185480,946420
Autumn and spring term,201415,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Pakistani,160470,39122088,1824306,1382462,441844,4.7,3.5,1.1,18785,11.7,4360327,653425,410740,242685,15,9.4,5.6,1150948,85731,46783,8,16,28107,.,2000,66534,1380127,220111,17562,181859,21624,441156,1821283
Autumn and spring term,201415,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Bangladeshi,62395,15226546,722119,579623,142496,4.7,3.8,0.9,7315,11.7,1713885,249260,174320,74940,14.5,10.2,4.4,507992,32444,3872,9,5,9081,.,333,25583,579319,54540,6232,72140,9552,142464,721783
Autumn and spring term,201415,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Any_other_Asian_background,66325,15903336,604055,481814,122241,3.8,3,0.8,5480,8.3,1185816,178015,121973,56042,15,10.3,4.7,385406,30742,7902,22,2,17830,.,584,38706,481194,57672,5682,50181,8591,122126,603320
Autumn and spring term,201415,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Black_Total,213605,51092260,1561930,1174774,387156,3.1,2.3,0.8,13875,6.5,2846051,457572,287800,169772,16.1,10.1,6,932394,96721,4525,113,49,21667,.,13639,105065,1174173,83112,39763,219794,44395,387064,1561237
Autumn and spring term,201415,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Black_Caribbean,44190,10705839,447262,322163,125099,4.2,3,1.2,4860,11,1087025,173972,107672,66300,16,9.9,6.1,254311,23672,433,31,16,6033,.,6773,30873,322142,21148,18205,71687,14051,125091,447233
Autumn and spring term,201415,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Black_African,141275,33704262,884663,685319,199344,2.6,2,0.6,6715,4.8,1283648,206712,132988,73724,16.1,10.4,5.7,546213,59375,3536,68,25,12199,.,5125,58332,684873,49462,14547,112080,23204,199293,884166
Autumn and spring term,201415,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Any_other_black_background,28145,6682159,230005,167292,62713,3.4,2.5,0.9,2300,8.2,475378,76888,47140,29748,16.2,9.9,6.3,131870,13674,556,14,8,3435,.,1741,15860,167158,12502,7011,36027,7140,62680,229838
Autumn and spring term,201415,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Chinese,15405,3692287,102270,82561,19709,2.8,2.2,0.5,785,5.1,164910,24170,15905,8265,14.7,9.6,5,58939,7764,239,4,2,7310,.,135,8088,82481,11807,1288,5427,1145,19667,102148
Autumn and spring term,201415,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Any_Other_Ethnic_Group,66940,15726304,656862,477925,178937,4.2,3,1.1,6830,10.2,1387136,221424,134407,87017,16,9.7,6.3,380414,37751,6031,16,363,14364,.,1170,36863,476972,65989,8756,89399,14025,178169,655141
Autumn and spring term,201415,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minority_Ethnic_Group,1138995,273590951,11709514,8983249,2726265,4.3,3.3,1,121865,10.7,26711336,4237593,2780362,1457231,15.9,10.4,5.5,7328561,594736,95547,721,73023,221580,.,39532,615390,8969090,889532,184391,1440399,207809,2722131,11691221
Autumn and spring term,201415,National,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Unclassified,35895,6785188,307868,244391,63477,4.5,3.6,0.9,4790,13.3,729298,122569,86604,35965,16.8,11.9,4.9,198499,16515,1129,14,908,5969,.,1872,18095,243001,14508,6394,35477,6755,63134,306135
Autumn and spring term,201415,National,E92000001,England,State-funded primary,NC year,NC_Year_1_and_below,650615,159150866,7296314,6030053,1266261,4.6,3.8,0.8,74250,11.4,17217275,2657680,1962455,695225,15.4,11.4,4,5142822,409596,19037,251,18274,122920,.,15883,289171,6017954,407889,122404,641131,92515,1263939,7281893
Autumn and spring term,201415,National,E92000001,England,State-funded primary,NC year,NC_Year_2,653370,160186078,6481646,5271077,1210569,4,3.3,0.8,58795,9,13603454,2076247,1478323,597924,15.3,10.9,4.4,4432433,368931,20049,187,17812,122481,.,20412,278025,5260330,411939,116438,594732,85765,1208874,6469204
Autumn and spring term,201415,National,E92000001,England,State-funded primary,NC year,NC_Year_3,627275,153745141,5852641,4731706,1120935,3.8,3.1,0.7,51210,8.2,11812473,1810707,1275548,535159,15.3,10.8,4.5,3935583,339375,18998,228,18147,113398,.,26202,269117,4721048,376133,104521,555456,82457,1118567,5839615
Autumn and spring term,201415,National,E92000001,England,State-funded primary,NC year,NC_Year_4,605630,148595736,5684558,4610357,1074201,3.8,3.1,0.7,49680,8.2,11521316,1773498,1259344,514154,15.4,10.9,4.5,3838229,326936,18711,238,17158,106764,.,28307,263992,4600335,353233,92608,544679,81743,1072263,5672598
Autumn and spring term,201415,National,E92000001,England,State-funded primary,NC year,NC_Year_5,576680,141957360,5531607,4514920,1016687,3.9,3.2,0.7,49375,8.6,11549579,1773115,1282882,490233,15.4,11.1,4.2,3760423,311778,18578,640,16962,98322,.,31900,265904,4504507,325542,80949,529817,78660,1014968,5519475
Autumn and spring term,201415,National,E92000001,England,State-funded primary,NC year,NC_Year_6,557475,138368254,5446878,4478917,967961,3.9,3.2,0.7,47315,8.5,11257999,1736042,1270906,465136,15.4,11.3,4.1,3703503,315805,17475,639,16853,87694,.,37199,289173,4468341,304484,76355,511591,73878,966308,5434649
Autumn and spring term,201415,National,E92000001,England,State-funded primary,NC year,NC_Year_7,1800,443862,20116,17607,2509,4.5,4,0.6,220,12.1,51820,7923,6551,1372,15.3,12.6,2.6,14664,1183,27,0,227,266,.,163,1077,17607,817,186,1404,102,2509,20116
Autumn and spring term,201415,National,E92000001,England,State-funded primary,NC year,NC_Year_8,335,82764,4693,3252,1441,5.7,3.9,1.7,55,17,13090,2462,1582,880,18.8,12.1,6.7,2245,372,2,0,73,14,.,237,309,3252,388,55,944,54,1441,4693
Autumn and spring term,201415,National,E92000001,England,State-funded primary,NC year,NC_Year_Not_followed_or_missing,28535,703044,117417,50676,66741,16.7,7.2,9.5,11125,39,258785,108713,44282,64431,42,17.1,24.9,21522,2088,27,4,1631,531,.,1271,23565,50639,4616,1342,52581,7899,66438,117077
Autumn and spring term,201415,National,E92000001,England,State-funded primary,FSM,FSM_eligible,637445,153595099,8942536,6574813,2367723,5.8,4.3,1.5,114930,18,26506791,4331799,2842555,1489244,16.3,10.7,5.6,5449044,483735,19498,335,22473,64946,.,79081,440497,6559609,313055,297393,1556526,196957,2363931,8923540
Autumn and spring term,201415,National,E92000001,England,State-funded primary,FSM,FSM_Not_eligible,3035730,748935046,27375924,23083083,4292841,3.7,3.1,0.6,215975,7.1,50520215,7505875,5695036,1810839,14.9,11.3,3.6,19380862,1590244,93379,1848,83033,586913,.,81222,1216271,23033772,1867370,296123,1823228,298217,4284938,27318710
Autumn and spring term,201415,National,E92000001,England,State-funded primary,FSM,FSM_unclassified,28535,702960,117410,50669,66741,16.7,7.2,9.5,11125,39,258785,108713,44282,64431,42,17.1,24.9,21518,2085,27,4,1631,531,.,1271,23565,50632,4616,1342,52581,7899,66438,117070
Autumn and spring term,201415,National,E92000001,England,State-funded primary,SEN provision,SEN_provision_No_identified_SEN,3060815,752802576,28345658,23306751,5038907,3.8,3.1,0.7,239425,7.8,55618067,8276466,5950906,2325560,14.9,10.7,4.2,19826467,1461885,95044,1878,72424,554902,.,36060,1208305,23256965,1838388,409329,2419829,362630,5030176,28287141
Autumn and spring term,201415,National,E92000001,England,State-funded primary,SEN provision,SEN_provision_Statement_or_EHCP,54775,13249527,857568,739610,117958,6.5,5.6,0.9,10695,19.5,2483619,460425,383125,77300,18.5,15.4,3.1,511298,112445,1409,47,1052,13166,.,21055,77468,737940,27992,15084,66070,8480,117626,855566
Autumn and spring term,201415,National,E92000001,England,State-funded primary,SEN provision,SEN_provision_SEN_Support,557835,136491714,7117103,5612373,1504730,5.2,4.1,1.1,80890,14.5,18931015,3102407,2204215,898192,16.4,11.6,4.7,4492657,499683,16424,258,32154,83795,.,103189,371154,5599314,314271,169130,894526,124129,1502056,7101370
Autumn and spring term,201415,National,E92000001,England,State-funded primary,SEN provision,SEN_provision_Unclassified,28290,689288,115541,49831,65710,16.8,7.2,9.5,11020,39,253090,107089,43627,63462,42.3,17.2,25.1,21002,2051,27,4,1507,527,.,1270,23406,49794,4390,1315,51910,7834,65449,115243
Autumn and spring term,201415,National,E92000001,England,State-funded primary,First language,First_language_Known_or_believed_to_be_English,2960980,727086154,28946663,23982353,4964310,4,3.3,0.7,264035,8.9,60496986,9360326,6899179,2461147,15.5,11.4,4.1,20118854,1697479,36208,1919,105147,505214,.,148229,1316077,23929127,1507135,518187,2554198,376074,4955594,28884721
Autumn and spring term,201415,National,E92000001,England,State-funded primary,First language,First_language_Known_or_believed_to_be_other_than_English,733530,174546048,7418061,5672198,1745863,4.2,3.2,1,77060,10.5,16617118,2557192,1663667,893525,15.4,10,5.4,4690002,374763,76336,265,1603,146156,.,12904,359936,5661965,674144,75123,868413,125107,1742787,7404752
Autumn and spring term,201415,National,E92000001,England,State-funded primary,First language,First_language_Unclassified,7200,1600903,71146,54014,17132,4.4,3.4,1.1,935,13,171687,28869,19027,9842,16.8,11.1,5.7,42568,3822,360,3,387,1020,.,441,4320,52921,3762,1548,9724,1892,16926,69847
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Total,Total,2802130,685843532,35710933,27569866,8141067,5.2,4,1.2,381255,13.6,88589688,16590939,10784780,5806159,18.7,12.2,6.6,21722273,2474484,80983,74606,31476,222815,.,823144,2097960,27527741,960031,395347,6066597,705053,8127028,35654769
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Gender,Gender_male,1420645,347594695,17792851,13753028,4039823,5.1,4,1.2,188425,13.3,43735422,8133852,5277152,2856700,18.6,12.1,6.5,10753819,1139406,42097,39312,17918,110376,.,590092,1034251,13727271,473282,207060,3002072,350568,4032982,17760253
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Gender,Gender_female,1381480,338248837,17918082,13816838,4101244,5.3,4.1,1.2,192835,14,44854266,8457087,5507628,2949459,18.9,12.3,6.6,10968454,1335078,38886,35294,13558,112439,.,233052,1063709,13800470,486749,188287,3064525,354485,4094046,17894516
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Major_White_Total,2170370,532479904,29059514,22571119,6488395,5.5,4.2,1.2,315040,14.5,73632073,13969190,9129353,4839837,19,12.4,6.6,17939054,1994510,14954,57064,30610,164817,.,637506,1706232,22544747,675613,305611,4977632,521679,6480535,29025282
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Minor_White_British,2026790,498027229,27002639,21175801,5826838,5.4,4.3,1.2,290465,14.3,68116901,12924240,8554108,4370132,19,12.6,6.4,16867992,1867862,12332,53572,16921,150504,.,591354,1591784,21152321,597138,284113,4486185,452903,5820339,26972660
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Minor_Irish,9105,2249557,128941,100813,28128,5.7,4.5,1.3,1365,15,319194,61898,40024,21874,19.4,12.5,6.9,77096,9547,87,659,834,517,.,3001,8803,100544,1859,1635,21252,3237,27983,128527
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Minor_Traveller_of_Irish_heritage,1215,264691,48792,25220,23572,18.4,9.5,8.9,710,58.3,148040,43341,21052,22289,29.3,14.2,15.1,11783,1259,13,42,5238,16,.,2034,4827,25212,762,588,20175,2047,23572,48784
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Minor_Gypsy_Roma,7540,1695821,240004,110328,129676,14.2,6.5,7.6,3920,52,851115,197316,83873,113443,23.2,9.9,13.3,66992,8660,101,11,6715,313,.,11727,15809,110328,6879,2441,109259,11097,129676,240004
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Minor_Any_other_white_background,125720,30242606,1639138,1158957,480181,5.4,3.8,1.6,18585,14.8,4196823,742395,430296,312099,17.7,10.3,7.4,915191,107182,2421,2780,902,13467,.,29390,85009,1156342,68975,16834,340761,52395,478965,1635307
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Major_Mixed_Total,125090,30515913,1679962,1245457,434505,5.5,4.1,1.4,18895,15.1,4376998,823980,508811,315169,18.8,11.6,7.2,955904,110321,3516,3710,53,10324,.,52746,106084,1242658,38052,27095,327462,41286,433895,1676553
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Minor_White_and_Black_Caribbean,38860,9436803,599603,426400,173203,6.4,4.5,1.8,7400,19,1715056,328160,195710,132450,19.1,11.4,7.7,324274,35672,305,810,9,1917,.,24830,38287,426104,10257,11195,135487,16111,173050,599154
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Minor_White_and_Black_African,14910,3628547,185237,135109,50128,5.1,3.7,1.4,1995,13.4,459908,86291,52009,34282,18.8,11.3,7.5,104204,11931,284,354,2,1224,.,5740,11222,134961,4771,2918,37606,4809,50104,185065
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Minor_White_and_Asian,27815,6845154,344816,268706,76110,5,3.9,1.1,3530,12.7,821945,154667,99846,54821,18.8,12.1,6.7,208868,24406,1580,1185,2,2792,.,7099,21571,267503,8859,4159,56433,6465,75916,343419
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Minor_Any_other_Mixed_background,43505,10605409,550306,415242,135064,5.2,3.9,1.3,5970,13.7,1380089,254862,161246,93616,18.5,11.7,6.8,318558,38312,1347,1361,40,4391,.,15077,35004,414090,14165,8823,97936,13901,134825,548915
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Major_Asian_Total,268945,66336715,2737388,2117628,619760,4.1,3.2,0.9,24675,9.2,5761855,923516,608165,315351,16,10.6,5.5,1641424,196769,53478,9458,64,28750,.,42913,134084,2106940,163597,24196,362607,64792,615192,2722132
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Minor_Indian,71470,17721814,611709,507525,104184,3.5,2.9,0.6,4565,6.4,1066634,168665,121483,47182,15.8,11.4,4.4,392598,49775,10267,4306,11,9486,.,5173,33481,505097,32734,4335,54033,10246,101348,606445
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Minor_Pakistani,110375,27139182,1296592,967701,328891,4.8,3.6,1.2,13010,11.8,3050891,494377,316730,177647,16.2,10.4,5.8,741663,85861,35066,2493,14,10317,.,26379,59370,961163,88937,11326,196220,31301,327784,1288947
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Minor_Bangladeshi,44680,11062229,467683,355736,111947,4.2,3.2,1,4170,9.3,983382,153023,97679,55344,15.6,9.9,5.6,292204,31449,3120,592,7,3704,.,6849,17264,355189,21941,5009,70944,13968,111862,467051
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Minor_Any_other_Asian_background,42425,10413490,361404,286666,74738,3.5,2.8,0.7,2930,6.9,660948,107451,72273,35178,16.3,10.9,5.3,214959,29684,5025,2067,32,5243,.,4512,23969,285491,19985,3526,41410,9277,74198,359689
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Major_Black_Total,145580,35421960,1255114,923120,331994,3.5,2.6,0.9,11375,7.8,2526718,447113,279256,167857,17.7,11.1,6.6,651953,101793,3307,2078,38,9784,.,65177,88300,922430,41565,26270,215452,48138,331425,1253855
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Minor_Black_Caribbean,38395,9330309,450688,326608,124080,4.8,3.5,1.3,4940,12.9,1127519,203937,126715,77222,18.1,11.2,6.8,228145,31080,394,527,7,3425,.,27926,34889,326393,11633,11038,85555,15655,123881,450274
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Minor_Black_African,89770,21883914,634312,476409,157903,2.9,2.2,0.7,4665,5.2,1007604,173005,110883,62122,17.2,11,6.2,337253,58517,2638,1360,22,5232,.,29780,41223,476025,24269,11200,96185,25954,157608,633633
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Minor_Any_other_black_background,17415,4207737,170114,120103,50011,4,2.9,1.2,1775,10.2,391595,70171,41658,28513,17.9,10.6,7.3,86555,12196,275,191,9,1127,.,7471,12188,120012,5663,4032,33712,6529,49936,169948
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Major_Chinese,9725,2402873,51589,42924,8665,2.1,1.8,0.4,320,3.3,70461,11259,7914,3345,16,11.2,4.7,30041,5824,76,621,0,1623,.,306,4265,42756,3144,367,4107,1016,8634,51390
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Major_Any_Other_Ethnic_Group,41570,10013103,426929,303052,123877,4.3,3,1.2,4155,10,908344,159128,91994,67134,17.5,10.1,7.4,224200,33441,4365,799,217,4247,.,11581,23778,302628,25746,4396,78349,15215,123706,426334
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Minority_Ethnic_Group,734490,179143239,8207857,6027499,2180358,4.6,3.4,1.2,83995,11.4,19159548,3409946,2071385,1338561,17.8,10.8,7,4574584,574796,67364,20158,14061,69041,.,218875,470959,6009838,350579,103822,1479424,239223,2173048,8182886
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,Ethnicity,Ethnicity_Major_Unclassified,40845,8673064,500437,366566,133871,5.8,4.2,1.5,6800,16.6,1313239,256753,159287,97466,19.6,12.1,7.4,279697,31826,1287,876,494,3270,.,12915,35217,365582,12314,7412,100988,12927,133641,499223
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,NC year,NC_Year_1_and_below,5860,1393005,72631,56510,16121,5.2,4.1,1.2,840,14.3,189605,30170,20927,9243,15.9,11,4.9,46707,4028,344,3,142,624,.,270,3238,55356,3765,1267,8998,1938,15968,71324
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,NC year,NC_Year_2,5325,1270203,58390,43676,14714,4.6,3.4,1.2,635,11.9,143210,22737,14275,8462,15.9,10,5.9,35409,3155,249,6,222,506,.,206,2646,42399,3617,1139,8580,1296,14632,57031
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,NC year,NC_Year_3,4880,1163281,49837,36993,12844,4.3,3.2,1.1,540,11,120353,18451,12136,6315,15.3,10.1,5.2,29368,2607,179,0,15,443,.,480,2784,35876,2651,1206,7260,1606,12723,48599
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,NC year,NC_Year_4,4405,1059659,45456,33749,11707,4.3,3.2,1.1,420,9.6,95222,15918,9842,6076,16.7,10.3,6.4,27180,2209,206,1,96,460,.,376,2253,32781,2709,830,6732,1357,11628,44409
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,NC year,NC_Year_5,17840,4418051,168505,145311,23194,3.8,3.3,0.5,1385,7.8,325660,50267,39662,10605,15.4,12.2,3.3,121728,10342,365,7,397,2792,.,969,7900,144500,8652,1549,10796,2032,23029,167529
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,NC year,NC_Year_6,19910,4960599,202234,174310,27924,4.1,3.5,0.6,1755,8.8,416328,66976,52362,14614,16.1,12.6,3.5,144133,13252,357,6,731,2679,.,1635,11465,174258,9294,1685,14850,2091,27920,202178
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,NC year,NC_Year_7,553660,136336829,5601436,4689247,912189,4.1,3.4,0.7,51375,9.3,12067913,1995561,1447423,548138,16.5,12,4.5,3911540,328072,15747,92,6612,44499,.,88119,287525,4682206,170224,26027,633274,80699,910224,5592430
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,NC year,NC_Year_8,537325,131575909,6461637,5215064,1246573,4.9,4,0.9,66710,12.4,15636780,2698605,1881671,816934,17.3,12,5.2,4214000,431009,16441,158,7595,50916,.,135530,352985,5208634,203300,42002,890229,108625,1244156,6452790
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,NC year,NC_Year_9,541280,132469438,7140894,5574684,1566210,5.4,4.2,1.2,77635,14.3,18166333,3305108,2201550,1103558,18.2,12.1,6.1,4385307,517538,16746,128,4867,49315,.,186168,407387,5567456,207335,64082,1155547,136339,1563303,7130759
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,NC year,NC_Year_10,549385,134959307,7787730,5806301,1981429,5.8,4.3,1.5,86225,15.7,20321611,3984702,2499096,1485606,19.6,12.3,7.3,4479322,572496,15797,770,5544,42313,.,216058,465982,5798282,192721,104625,1513736,167521,1978603,7776885
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,NC year,NC_Year_11,547695,135767121,8031093,5747564,2283529,5.9,4.2,1.7,86680,15.8,20911093,4318273,2564445,1753828,20.7,12.3,8.4,4309562,587698,14519,73044,4960,28056,.,187747,534180,5739766,153713,150308,1780587,195678,2280286,8020052
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,NC year,NC_Year_12_and_above,500,99545,5657,3292,2365,5.7,3.3,2.4,90,18,16866,3017,1596,1421,17.9,9.5,8.4,1902,318,25,386,7,27,.,20,607,3292,106,92,830,1337,2365,5657
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,NC year,NC_Year_Not_followed_or_missing,14060,370585,85433,43165,42268,23.1,11.6,11.4,6965,49.6,178714,81154,39795,41359,45.4,22.3,23.1,16115,1760,8,5,288,185,.,5566,19008,42935,1944,535,35178,4534,42191,85126
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,FSM,FSM_eligible,428960,103496403,8563232,5447083,3116149,8.3,5.3,3,115210,26.9,26960910,5600098,3075946,2524152,20.8,11.4,9.4,4037340,472252,17316,3802,5712,26190,.,319635,561170,5443417,153589,142826,2575185,241813,3113413,8556830
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,FSM,FSM_Not_eligible,2359180,581994442,27063682,22081029,4982653,4.7,3.8,0.9,259095,11,61453117,10910570,7669919,3240651,17.8,12.5,5.3,17669967,2000613,63659,70799,25476,196519,.,497943,1517824,22042800,804498,251986,3456234,458709,4971427,27014227
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,FSM,FSM_unclassified,13985,352687,84019,41754,42265,23.8,11.8,12,6955,49.7,175661,80271,38915,41356,45.7,22.2,23.5,14966,1619,8,5,288,106,.,5566,18966,41524,1944,535,35178,4531,42188,83712
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,SEN provision,SEN_provision_No_identified_SEN,2315150,570200482,27127233,21554391,5572842,4.8,3.8,1,268480,11.6,63548356,11273964,7552593,3721371,17.7,11.9,5.9,17375774,1913121,67791,65446,19151,185482,.,433263,1456896,21516924,786754,267153,3998871,508947,5561725,27078649
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,SEN provision,SEN_provision_Statement_or_EHCP,54210,13139126,951784,719294,232490,7.2,5.5,1.8,11725,21.6,2732999,595676,406641,189035,21.8,14.9,6.9,484697,86008,1273,1030,1161,5899,.,48334,90631,719033,17334,11768,184901,18236,232239,951272
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,SEN provision,SEN_provision_SEN_Support,418960,102161182,7550116,5255674,2294442,7.4,5.1,2.2,94195,22.5,22138425,4643093,2787766,1855327,21,12.6,8.4,3847317,473812,11911,8125,10876,31328,.,336021,531915,5251305,154151,115921,1848364,173412,2291848,7543153
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,SEN provision,SEN_provision_Unclassified,13810,342742,81800,40507,41293,23.9,11.8,12,6860,49.7,169908,78206,37780,40426,46,22.2,23.8,14485,1543,8,5,288,106,.,5526,18518,40479,1792,505,34461,4458,41216,81695
Autumn and spring term,201415,National,E92000001,England,State-funded secondary,First language,First_language_Known_or_believed_to_be_English,2371215,581702474,31151001,24301658,6849343,5.4,4.2,1.2,335205,14.1,78278292,14820255,9755310,5064945,18.9,12.5,6.5,19221682,2154879,31370,64896,30586,179567,.,721956,1862471,24267407,707990,347567,5224459,560221,6840237,31107644
